N,K,Tempo (ms)
10000000,1,16.94280
10000000,2,17.08140
10000000,4,13.09450
10000000,8,12.28260
10000000,16,10.49800
10000000,32,7.14710
10000000,64,11.53180
10000000,128,12.76340
10000000,256,13.53040
100000000,1,204.03880
100000000,2,200.74530
100000000,4,221.76320
100000000,8,213.94050
100000000,16,160.71990
100000000,32,127.26780
100000000,64,50.67750
100000000,128,63.93860
100000000,256,75.65270
1000000000,1,2085.68610
1000000000,2,2133.84490
1000000000,4,2181.15150
1000000000,8,2594.93940
1000000000,16,2261.19190
1000000000,32,2167.67340
1000000000,64,2011.60540
1000000000,128,1713.42240
1000000000,256,940.59640
