Ocupacao, Tempo\n
0.100, 0.00036
0.200, 0.00055
0.300, 0.00055
0.400, 0.00055
0.500, 0.00055
0.600, 0.00055
0.700, 0.00055
0.800, 0.00055
0.900, 0.00055
1.000, 0.00055
0.900, 0.00057
1.000, 0.00060
0.900, 0.00064
1.000, 0.00067
0.900, 0.00068
0.800, 0.00071
0.700, 0.00071
0.600, 0.00071
0.700, 0.00071
0.800, 0.00071
0.900, 0.00071
1.000, 0.00071
0.900, 0.00073
1.000, 0.00076
0.900, 0.00078
1.000, 0.00081
0.900, 0.00082
1.000, 0.00085
0.900, 0.00087
1.000, 0.00090
0.900, 0.00091
1.000, 0.00103
0.900, 0.00106
1.000, 0.00110
0.900, 0.00111
1.000, 0.00114
0.900, 0.00115
1.000, 0.00119
0.900, 0.00120
1.000, 0.00122
0.900, 0.00124
1.000, 0.00127
0.900, 0.00129
1.000, 0.00132
0.900, 0.00133
1.000, 0.00136
0.900, 0.00138
1.000, 0.00141
0.900, 0.00142
1.000, 0.00145
0.900, 0.00146
1.000, 0.00149
0.900, 0.00152
1.000, 0.00155
0.900, 0.00157
1.000, 0.00159
0.900, 0.00161
1.000, 0.00164
0.900, 0.00166
1.000, 0.00169
0.900, 0.00170
1.000, 0.00173
0.900, 0.00175
1.000, 0.00178
0.900, 0.00180
1.000, 0.00183
0.900, 0.00188
1.000, 0.00191
0.900, 0.00192
1.000, 0.00194
0.900, 0.00196
1.000, 0.00199
0.900, 0.00200
1.000, 0.00203
0.900, 0.00204
1.000, 0.00208
0.900, 0.00209
1.000, 0.00212
0.900, 0.00214
1.000, 0.00217
0.900, 0.00218
1.000, 0.00220
0.900, 0.00222
1.000, 0.00225
0.900, 0.00227
1.000, 0.00230
0.900, 0.00231
1.000, 0.00234
0.900, 0.00236
1.000, 0.00239
0.900, 0.00241
1.000, 0.00244
0.900, 0.00245
1.000, 0.00248
0.900, 0.00250
1.000, 0.00252
0.900, 0.00254
1.000, 0.00257
0.900, 0.00258
1.000, 0.00261
0.900, 0.00262
1.000, 0.00265
0.900, 0.00267
1.000, 0.00269
0.900, 0.00271
1.000, 0.00274
0.900, 0.00275
1.000, 0.00278
0.900, 0.00280
1.000, 0.00283
0.900, 0.00284
1.000, 0.00287
0.900, 0.00288
1.000, 0.00291
0.900, 0.00293
1.000, 0.00295
0.900, 0.00297
1.000, 0.00300
0.900, 0.00301
1.000, 0.00304
0.900, 0.00305
1.000, 0.00309
0.900, 0.00311
1.000, 0.00314
0.900, 0.00315
1.000, 0.00318
0.900, 0.00319
1.000, 0.00322
0.900, 0.00323
1.000, 0.00326
0.900, 0.00328
1.000, 0.00330
0.900, 0.00332
1.000, 0.00335
0.900, 0.00336
1.000, 0.00340
0.900, 0.00341
1.000, 0.00344
0.900, 0.00345
1.000, 0.00348
0.900, 0.00350
1.000, 0.00352
0.900, 0.00354
1.000, 0.00357
0.900, 0.00358
1.000, 0.00361
0.900, 0.00362
1.000, 0.00365
0.900, 0.00367
1.000, 0.00369
0.900, 0.00371
1.000, 0.00374
0.900, 0.00375
1.000, 0.00378
0.900, 0.00379
1.000, 0.00382
0.900, 0.00383
1.000, 0.00386
0.900, 0.00387
1.000, 0.00390
0.900, 0.00391
1.000, 0.00394
0.900, 0.00396
1.000, 0.00399
0.900, 0.00400
1.000, 0.00403
0.900, 0.00407
1.000, 0.00410
0.900, 0.00411
1.000, 0.00415
0.900, 0.00415
1.000, 0.00418
0.900, 0.00420
1.000, 0.00422
0.900, 0.00424
1.000, 0.00427
0.900, 0.00428
1.000, 0.00431
0.900, 0.00432
1.000, 0.00435
0.900, 0.00437
1.000, 0.00440
0.900, 0.00441
1.000, 0.00444
0.900, 0.00445
1.000, 0.00448
0.900, 0.00450
1.000, 0.00453
0.900, 0.00454
1.000, 0.00456
0.900, 0.00458
1.000, 0.00461
0.900, 0.00462
1.000, 0.00465
0.900, 0.00466
1.000, 0.00469
0.900, 0.00470
1.000, 0.00472
0.900, 0.00474
1.000, 0.00477
0.900, 0.00478
1.000, 0.00481
0.900, 0.00482
1.000, 0.00485
0.900, 0.00486
1.000, 0.00489
0.900, 0.00491
1.000, 0.00494
0.900, 0.00495
1.000, 0.00498
0.900, 0.00499
1.000, 0.00502
0.900, 0.00504
1.000, 0.00507
0.900, 0.00508
1.000, 0.00511
0.900, 0.00512
1.000, 0.00515
0.900, 0.00517
1.000, 0.00519
0.900, 0.00520
1.000, 0.00523
0.900, 0.00524
1.000, 0.00528
0.900, 0.00529
1.000, 0.00532
0.900, 0.00534
1.000, 0.00536
0.900, 0.00538
1.000, 0.00540
0.900, 0.00542
1.000, 0.00545
0.900, 0.00546
1.000, 0.00549
0.900, 0.00551
1.000, 0.00553
0.900, 0.00555
1.000, 0.00558
0.900, 0.00559
1.000, 0.00562
0.900, 0.00564
1.000, 0.00567
0.900, 0.00568
1.000, 0.00571
0.900, 0.00574
1.000, 0.00577
0.900, 0.00578
1.000, 0.00581
0.900, 0.00583
1.000, 0.00585
0.900, 0.00587
1.000, 0.00589
0.900, 0.00591
1.000, 0.00594
0.900, 0.00595
1.000, 0.00598
0.900, 0.00599
1.000, 0.00602
0.900, 0.00604
1.000, 0.00607
0.900, 0.00609
1.000, 0.00612
0.900, 0.00613
1.000, 0.00616
0.900, 0.00618
1.000, 0.00621
0.900, 0.00622
1.000, 0.00625
0.900, 0.00627
1.000, 0.00630
0.900, 0.00631
1.000, 0.00634
0.900, 0.00636
1.000, 0.00638
0.900, 0.00640
1.000, 0.00643
0.900, 0.00643
1.000, 0.00647
0.900, 0.00648
1.000, 0.00651
0.900, 0.00652
1.000, 0.00656
0.900, 0.00656
1.000, 0.00657
0.900, 0.00657
1.000, 0.00660
0.900, 0.00661
1.000, 0.00664
0.900, 0.00667
1.000, 0.00670
0.900, 0.00672
1.000, 0.00675
0.900, 0.00675
1.000, 0.00678
0.900, 0.00682
1.000, 0.00683
0.900, 0.00685
1.000, 0.00688
