N, NP/NC, Tempo Médio
1, (1/1), 11.304987
1, (1/2), 11.770246
1, (1/4), 12.233001
1, (1/8), 12.150279
1, (2/1), 11.328739
1, (4/1), 11.871761
1, (8/1), 11.692202
10, (1/1), 11.410283
10, (1/2), 12.203266
10, (1/4), 11.852912
10, (1/8), 12.124918
10, (2/1), 11.683123
10, (4/1), 11.640813
10, (8/1), 11.872339
100, (1/1), 11.305410
100, (1/2), 12.007102
100, (1/4), 12.284205
100, (1/8), 12.505832
100, (2/1), 11.882926
100, (4/1), 11.767531
100, (8/1), 11.882554
1000, (1/1), 10.735430
1000, (1/2), 11.445636
1000, (1/4), 11.603082
1000, (1/8), 11.598924
1000, (2/1), 11.381505
1000, (4/1), 11.496402
1000, (8/1), 11.359532
